lat,lon,camp,state,name,type,phone,sites,hookups,toilets,water,url,camp_id,url_confirmed,reservations,town,dump,showers,pets,fee
43.80086,-118.98997,Idlewild,OR,IDLE,NF,541.573.4300,40,NH,VT,DW,forestcamping.com/dow/pacficnw/mal.htm,1,0,RS,Burns,ND,NS,0,0
42.62649,-124.05745,Illahe,OR,ILLA,NF,541.247.3600,12,NH,VT,DW,forestcamping.com/dow/pacficnw/sis.htm,2,0,NR,Gold Beach,ND,NS,,
42.70382,-122.33212,Imnaha,OR,IMNA,NF,541.865.2700,5,NH,VT,DW,,3,0,NR,Butte Falls,ND,NS,,0
45.11253,-117.01311,Indian Crossing,OR,INDC,NF,541.426.4978,11,NH,VT,NW,www.roadcamping.com/rv/Oregon/Enterprise/property_2473/rv_parks_campgrounds.html,4,1,NR,Joseph,ND,NS,,
44.3577,-121.60962,Indian Ford,OR,INDF,NF,541.549.7700,25,NH,VT,NW,forestcamping.com/dow/pacficnw/desc.htm,5,0,NR,Sisters,ND,NS,,
45.1088,-122.0748,Indian Henry,OR,INDH,NF,503.630.6861,88,NH,VT,DW,forestcamping.com/dow/pacficnw/mth.htm,6,0,RS,Estacada,DP,NS,,
42.55209,-123.53866,Indian Mary Park,OR,INDM,CP,541.474.5285,90,WES,,DW,www.co.josephine.or.us/Page.asp?NavID=491,7,1,,Grants Park,DP,SH,,
43.31229,-122.1523,Inlet,OR,INLE,NF,541.498.2531,14,NH,VT,NW,forestcamping.com/dow/pacficnw/ump.htm,8,0,NR,Chemult,ND,NS,,
45.29797,-117.39539,Irondyke Forest Camp,OR,IRON,NF,541.426.4978,6,NH,VT,NW,www.eugenecarsey.com/camp/wallowa-whitman/lostine.htm,9,1,NR,Enterprise,ND,NS,,
43.33975,-122.7217,Island,OR,ISLA,NF,541.496.3532,7,NH,VT,NW,,10,0,NR,,ND,NS,,
42.722,-124.04,Island Camp,OR,ISLC,NF,541.439.6200,5,NH,VT,NW,www.reserveamerica.com/,11,1,NR,,ND,NS,,
43.74861,-122.00917,Islet,OR,ISLE,NF,541.782.2283,55,NH,VT,DW,forestcamping.com/dow/pacficnw/wil.htm,12,0,NR,Oakridge,ND,NS,,
44.4846,-121.70081,Jack Creek,OR,JACC,NF,541.549.7700,19,NH,VT,NW,forestcamping.com/dow/pacficnw/desc.htm,13,0,NR,Sisters,ND,NS,,
42.98477,-121.45304,Jackson Creek,OR,JACK,NF,541.365.7001,12,NH,VT,NW,forestcamping.com/dow/pacficnw/win.htm,14,0,NR,Chemult,ND,NS,,
42.11379,-123.0865,Jackson  Complex,OR,JACX,NF,541.899.3800,4,NH,VT,DW,forestcamping.com/dow/pacficnw/rog.htm,15,0,NR,Ruch,ND,NS,,
44.78222,-122.60889,John Neal Memorial Park,OR,JOHM,CP,541.967.3917,,NH,,DW,www.co.linn.or.us/parks/parks/johnneal.html,16,1,,Lyons,ND,NS,,
42.60775,-120.6004,Jones Crossing Forest Camp,OR,JONE,NF,541.943.3114,8,NH,VT,NW,www.eugenecarsey.com/camp/paisley/paisley.htm,17,1,NR,Paisley,ND,NS,,
45.58944,-123.55694,Jones Creek,OR,JONS,SF,503.842.2545,,NH,,,www.oregon.gov/ODF/tillamookstateforest/jonescreekcampground.shtml,18,1,NR,Tillamook,ND,NS,,
42.2423,-123.6863,Josephine Creek Camp,OR,JOSE,NF,541.471.6500,6,NH,VT,NW,,19,0,NR,Selma,ND,NS,,
42.68433,-122.61499,Joseph Stewart State Park,OR,JOSS,SP,541.560.3334,,E,,DW,www.oregonstateparks.org/park_30.php,20,0,RS,Medford,DP,SH,,L$
45.82807,-117.96376,Jubilee Lake,OR,JUBI,NF,509.522.6290,115,NH,VT,DW,forestcamping.com/dow/pacficnw/uma.htm,21,0,NR,Weston,ND,NS,,
